From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
ERC1	A0A8I5KS52	unreviewed	A0A8I5KS52_HUMAN	ELKS/Rab6-interacting/CAST family member 1	ERC1	Homo sapiens (Human)	341
ERC1	A0A8I5KT07	unreviewed	A0A8I5KT07_HUMAN	ELKS/Rab6-interacting/CAST family member 1	ERC1	Homo sapiens (Human)	43
ERC1	A0A8I5QKW1	unreviewed	A0A8I5QKW1_HUMAN	ELKS/Rab6-interacting/CAST family member 1	ERC1	Homo sapiens (Human)	265
ERC1	A0A8J9C065	unreviewed	A0A8J9C065_HUMAN	ELKS/Rab6-interacting/CAST family member 1	ERC1	Homo sapiens (Human)	805
ERC1	G8JLD3	unreviewed	G8JLD3_HUMAN	ELKS/Rab6-interacting/CAST family member 1	ERC1	Homo sapiens (Human)	1086
ERC1	K7EIZ7	unreviewed	K7EIZ7_HUMAN	ELKS/Rab6-interacting/CAST family member 1	ERC1	Homo sapiens (Human)	145
ERC1	K7EKH8	unreviewed	K7EKH8_HUMAN	ELKS/Rab6-interacting/CAST family member 1	ERC1	Homo sapiens (Human)	682
ERC1	K7EP25	unreviewed	K7EP25_HUMAN	ELKS/Rab6-interacting/CAST family member 1	ERC1	Homo sapiens (Human)	89
ERC1	K7EPD6	unreviewed	K7EPD6_HUMAN	ELKS/Rab6-interacting/CAST family member 1	ERC1	Homo sapiens (Human)	285
ERC1	K7EPP6	unreviewed	K7EPP6_HUMAN	ELKS/Rab6-interacting/CAST family member 1	ERC1	Homo sapiens (Human)	344
ERC1	X6RLX0	unreviewed	X6RLX0_HUMAN	ELKS/Rab6-interacting/CAST family member 1	ERC1	Homo sapiens (Human)	1120
ERC1	X6RM00	unreviewed	X6RM00_HUMAN	ELKS/Rab6-interacting/CAST family member 1	ERC1	Homo sapiens (Human)	976
ERCC2	P18074	reviewed	ERCC2_HUMAN	"General transcription and DNA repair factor IIH helicase subunit XPD, TFIIH subunit XPD, EC 3.6.4.12 (Basic transcription factor 2 80 kDa subunit, BTF2 p80) (CXPD) (DNA excision repair protein ERCC-2) (DNA repair protein complementing XP-D cells) (TFIIH basal transcription factor complex 80 kDa subunit, TFIIH 80 kDa subunit, TFIIH p80) (Xeroderma pigmentosum group D-complementing protein)"	ERCC2 XPD XPDC	Homo sapiens (Human)	760
ERCC2	A0A1B1PFW1	unreviewed	A0A1B1PFW1_HUMAN	TFIIH basal transcription factor complex helicase XPD subunit	ERCC2	Homo sapiens (Human)	23
ERCC2	A0A804HK53	unreviewed	A0A804HK53_HUMAN	"General transcription and DNA repair factor IIH helicase subunit XPD, EC 3.6.4.12"	ERCC2	Homo sapiens (Human)	719
ERCC2	A0A804HK75	unreviewed	A0A804HK75_HUMAN	General transcription and DNA repair factor IIH helicase subunit XPD	ERCC2	Homo sapiens (Human)	205
ERCC2	A0A804HL97	unreviewed	A0A804HL97_HUMAN	"DNA helicase, EC 3.6.4.12"	ERCC2	Homo sapiens (Human)	459
ERCC2	A8MX75	unreviewed	A8MX75_HUMAN	"General transcription and DNA repair factor IIH helicase subunit XPD, EC 3.6.4.12"	ERCC2	Homo sapiens (Human)	706
ERCC2	B4E0F6	unreviewed	B4E0F6_HUMAN	"General transcription and DNA repair factor IIH helicase subunit XPD (cDNA FLJ57462, highly similar to TFIIH basal transcription factor complex helicase subunit)"	ERCC2	Homo sapiens (Human)	127
ERCC2	E7EVE9	unreviewed	E7EVE9_HUMAN	"General transcription and DNA repair factor IIH helicase subunit XPD, EC 3.6.4.12"	ERCC2	Homo sapiens (Human)	829
ERCC2	K7EIT8	unreviewed	K7EIT8_HUMAN	"DNA helicase, EC 3.6.4.12"	ERCC2	Homo sapiens (Human)	292
ERCC2	K7EKF3	unreviewed	K7EKF3_HUMAN	"DNA helicase, EC 3.6.4.12"	ERCC2	Homo sapiens (Human)	202
ERCC2	K7ENL1	unreviewed	K7ENL1_HUMAN	General transcription and DNA repair factor IIH helicase subunit XPD	ERCC2	Homo sapiens (Human)	109
ERCC2	Q2TB79	unreviewed	Q2TB79_HUMAN	"General transcription and DNA repair factor IIH helicase subunit XPD, EC 3.6.4.12"	ERCC2	Homo sapiens (Human)	682
ERCC3	P19447	reviewed	ERCC3_HUMAN	"General transcription and DNA repair factor IIH helicase subunit XPB, TFIIH subunit XPB, EC 3.6.4.12 (Basic transcription factor 2 89 kDa subunit, BTF2 p89) (DNA excision repair protein ERCC-3) (DNA repair protein complementing XP-B cells) (TFIIH basal transcription factor complex 89 kDa subunit, TFIIH 89 kDa subunit, TFIIH p89) (Xeroderma pigmentosum group B-complementing protein)"	ERCC3 XPB XPBC	Homo sapiens (Human)	782
ERCC3	A0A2R8Y4R8	unreviewed	A0A2R8Y4R8_HUMAN	General transcription and DNA repair factor IIH helicase subunit XPB	ERCC3	Homo sapiens (Human)	122
ERCC3	A0A2R8Y5H0	unreviewed	A0A2R8Y5H0_HUMAN	General transcription and DNA repair factor IIH helicase subunit XPB	ERCC3	Homo sapiens (Human)	160
ERCC3	A0A2R8Y5L2	unreviewed	A0A2R8Y5L2_HUMAN	General transcription and DNA repair factor IIH helicase subunit XPB	ERCC3	Homo sapiens (Human)	448
ERCC3	A0A2R8Y681	unreviewed	A0A2R8Y681_HUMAN	"DNA helicase, EC 3.6.4.12"	ERCC3	Homo sapiens (Human)	162
ERCC3	A0A2R8Y6W8	unreviewed	A0A2R8Y6W8_HUMAN	"General transcription and DNA repair factor IIH helicase subunit XPB, EC 3.6.4.12 (DNA excision repair protein ERCC-3)"	ERCC3	Homo sapiens (Human)	807
ERCC3	A0A2R8Y762	unreviewed	A0A2R8Y762_HUMAN	General transcription and DNA repair factor IIH helicase subunit XPB	ERCC3	Homo sapiens (Human)	216
ERCC3	A0A2R8YES7	unreviewed	A0A2R8YES7_HUMAN	General transcription and DNA repair factor IIH helicase subunit XPB	ERCC3	Homo sapiens (Human)	406
ERCC3	A0A2R8YFS3	unreviewed	A0A2R8YFS3_HUMAN	General transcription and DNA repair factor IIH helicase subunit XPB	ERCC3	Homo sapiens (Human)	161
ERCC3	F2Z2V4	unreviewed	F2Z2V4_HUMAN	General transcription and DNA repair factor IIH helicase subunit XPB	ERCC3	Homo sapiens (Human)	71
ERCC3	G3V1S1	unreviewed	G3V1S1_HUMAN	"General transcription and DNA repair factor IIH helicase subunit XPB, EC 3.6.4.12 (DNA excision repair protein ERCC-3)"	ERCC3 hCG_42607	Homo sapiens (Human)	718
ERCC3	H7C309	unreviewed	H7C309_HUMAN	General transcription and DNA repair factor IIH helicase subunit XPB	ERCC3	Homo sapiens (Human)	188
ERCC4	Q92889	reviewed	XPF_HUMAN	"DNA repair endonuclease XPF, EC 3.1.-.- (DNA excision repair protein ERCC-4) (DNA repair protein complementing XP-F cells) (Xeroderma pigmentosum group F-complementing protein)"	ERCC4 ERCC11 XPF	Homo sapiens (Human)	916
ERCC4	A0A1W1GSK9	unreviewed	A0A1W1GSK9_HUMAN	"DNA repair endonuclease XPF (Excision repair cross-complementing rodent repair deficiency, complementation group 4, isoform CRA_a)"	ERCC4 hCG_37239	Homo sapiens (Human)	916
ERCC4	A0A1W1GSL6	unreviewed	A0A1W1GSL6_HUMAN	DNA repair endonuclease XPF	ERCC4	Homo sapiens (Human)	361
ERCC4	A0A1W1GSP5	unreviewed	A0A1W1GSP5_HUMAN	DNA repair endonuclease XPF	ERCC4	Homo sapiens (Human)	372
ERCC4	A0A1W1GST9	unreviewed	A0A1W1GST9_HUMAN	DNA repair endonuclease XPF	ERCC4	Homo sapiens (Human)	904
ERCC4	A0A804HI16	unreviewed	A0A804HI16_HUMAN	DNA repair endonuclease XPF	ERCC4	Homo sapiens (Human)	137
ERCC4	A0A804HIY2	unreviewed	A0A804HIY2_HUMAN	DNA repair endonuclease XPF	ERCC4	Homo sapiens (Human)	277
ERCC4	A0A804HKF9	unreviewed	A0A804HKF9_HUMAN	DNA repair endonuclease XPF	ERCC4	Homo sapiens (Human)	962
ERCC4	A0PJA9	unreviewed	A0PJA9_HUMAN	ERCC4 protein	ERCC4	Homo sapiens (Human)	356
ERCC4	I3L4K0	unreviewed	I3L4K0_HUMAN	DNA repair endonuclease XPF	ERCC4	Homo sapiens (Human)	35
ERCC4	I3NI48	unreviewed	I3NI48_HUMAN	DNA repair endonuclease XPF	ERCC4	Homo sapiens (Human)	75
ERCC5	P28715	reviewed	ERCC5_HUMAN	"DNA excision repair protein ERCC-5, EC 3.1.-.- (DNA repair protein complementing XP-G cells) (Xeroderma pigmentosum group G-complementing protein)"	ERCC5 ERCM2 XPG XPGC	Homo sapiens (Human)	1186
ERCC5	A0A090HNM7	unreviewed	A0A090HNM7_HUMAN	DNA excision repair protein ERCC-5 (ERCC5-201 protein)	ERCC5 ERCC5-201	Homo sapiens (Human)	1018
ERCC5	A0A494C0S2	unreviewed	A0A494C0S2_HUMAN	DNA excision repair protein ERCC-5	ERCC5	Homo sapiens (Human)	904
ERCC5	A0A494C113	unreviewed	A0A494C113_HUMAN	DNA excision repair protein ERCC-5	ERCC5	Homo sapiens (Human)	127
ERCC5	F2Z2A1	unreviewed	F2Z2A1_HUMAN	DNA excision repair protein ERCC-5	ERCC5	Homo sapiens (Human)	43
ERCC5	Q9NR54	unreviewed	Q9NR54_HUMAN	"Excision repair cross-complementing rodent repair deficiency, complementation group 5 (Xeroderma pigmentosum, complementation group G (Cockayne syndrome)), isoform CRA_b (Xeroderma pigmentosum complementation group G protein splice variant)"	ERCC5 hCG_29785	Homo sapiens (Human)	67
ERG	P11308	reviewed	ERG_HUMAN	Transcriptional regulator ERG (Transforming protein ERG)	ERG	Homo sapiens (Human)	479
ERG	Q12809	reviewed	KCNH2_HUMAN	"Potassium voltage-gated channel subfamily H member 2 (Eag homolog) (Ether-a-go-go-related gene potassium channel 1, ERG-1, Eag-related protein 1, Ether-a-go-go-related protein 1, H-ERG, hERG-1, hERG1) (Voltage-gated potassium channel subunit Kv11.1)"	KCNH2 ERG ERG1 HERG	Homo sapiens (Human)	1159
ERG	A0A0C4DG41	unreviewed	A0A0C4DG41_HUMAN	Transcriptional regulator ERG	ERG	Homo sapiens (Human)	387
ERG	A8MX39	unreviewed	A8MX39_HUMAN	Transcriptional regulator ERG	ERG	Homo sapiens (Human)	456
ERG	A8MZ24	unreviewed	A8MZ24_HUMAN	Transcriptional regulator ERG	ERG	Homo sapiens (Human)	463
ERG	B2Y833	unreviewed	B2Y833_HUMAN	TMPRSS2-ERG prostate cancer specific isoform 1	ERG	Homo sapiens (Human)	220
ERG	B5MDW0	unreviewed	B5MDW0_HUMAN	Erythroblast transformation-specific transcription factor ERG variant 10 (Transcriptional regulator ERG)	ERG	Homo sapiens (Human)	455
ERG	Q16031	unreviewed	Q16031_HUMAN	p55	erg	Homo sapiens (Human)	54
ERG	Q7LDT7	unreviewed	Q7LDT7_HUMAN	p55	erg	Homo sapiens (Human)	10
ESR1	P03372	reviewed	ESR1_HUMAN	"Estrogen receptor, ER (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)"	ESR1 ESR NR3A1	Homo sapiens (Human)	595
ESR1	A0A125SXV6	unreviewed	A0A125SXV6_HUMAN	Estrogen receptor (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1	Homo sapiens (Human)	373
ESR1	A0A125SXV7	unreviewed	A0A125SXV7_HUMAN	Estrogen receptor (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1	Homo sapiens (Human)	386
ESR1	A0A125SXV8	unreviewed	A0A125SXV8_HUMAN	Estrogen receptor (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1	Homo sapiens (Human)	452
ESR1	A0A125SXV9	unreviewed	A0A125SXV9_HUMAN	Estrogen receptor (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1	Homo sapiens (Human)	400
ESR1	A0A125SXW0	unreviewed	A0A125SXW0_HUMAN	Estrogen receptor (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1	Homo sapiens (Human)	382
ESR1	A0A125SXW1	unreviewed	A0A125SXW1_HUMAN	Estrogen receptor (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1	Homo sapiens (Human)	424
ESR1	A0A125SXW2	unreviewed	A0A125SXW2_HUMAN	Estrogen receptor (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1	Homo sapiens (Human)	419
ESR1	A0A125SXW3	unreviewed	A0A125SXW3_HUMAN	Estrogen receptor (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1	Homo sapiens (Human)	483
ESR1	A0A3G1VCY8	unreviewed	A0A3G1VCY8_HUMAN	Estrogen receptor 1	ESR1	Homo sapiens (Human)	160
ESR1	A0A4P8D7D1	unreviewed	A0A4P8D7D1_HUMAN	Estrogen receptor 1	ESR1	Homo sapiens (Human)	38
ESR1	A0A679EM68	unreviewed	A0A679EM68_HUMAN	Estrogen receptor (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1	Homo sapiens (Human)	292
ESR1	B0QYW7	unreviewed	B0QYW7_HUMAN	Estrogen receptor	ESR1	Homo sapiens (Human)	107
ESR1	B5LY05	unreviewed	B5LY05_HUMAN	"Estrogen receptor alpha delta 3,4,5,6 isoform"	ESR1	Homo sapiens (Human)	146
ESR1	B5M0Y2	unreviewed	B5M0Y2_HUMAN	"Estrogen receptor alpha delta 1*,2,3*/663 choroid plexus isoform"	ESR1	Homo sapiens (Human)	40
ESR1	B5TKC0	unreviewed	B5TKC0_HUMAN	Estrogen receptor alpha substantia nigra isoform	ESR1	Homo sapiens (Human)	140
ESR1	B5TKC1	unreviewed	B5TKC1_HUMAN	Estrogen receptor alpha superior frontal gyrus isoform	ESR1	Homo sapiens (Human)	46
ESR1	B5TKC2	unreviewed	B5TKC2_HUMAN	Estrogen receptor alpha cingulate gyrus isoform	ESR1	Homo sapiens (Human)	110
ESR1	B5TZ77	unreviewed	B5TZ77_HUMAN	Estrogen receptor alpha splice variant	ESR1	Homo sapiens (Human)	80
ESR1	B5TZ78	unreviewed	B5TZ78_HUMAN	Estrogen receptor alpha splice variant	ESR1	Homo sapiens (Human)	71
ESR1	B5TZ79	unreviewed	B5TZ79_HUMAN	Estrogen receptor alpha splice variant	ESR1	Homo sapiens (Human)	152
ESR1	B5TZ80	unreviewed	B5TZ80_HUMAN	Estrogen receptor alpha splice variant	ESR1	Homo sapiens (Human)	101
ESR1	B5TZ81	unreviewed	B5TZ81_HUMAN	Estrogen receptor alpha splice variant	ESR1	Homo sapiens (Human)	68
ESR1	B5TZ82	unreviewed	B5TZ82_HUMAN	Estrogen receptor alpha splice variant	ESR1	Homo sapiens (Human)	137
ESR1	B5TZ83	unreviewed	B5TZ83_HUMAN	Estrogen receptor alpha splice variant	ESR1	Homo sapiens (Human)	79
ESR1	B6DP71	unreviewed	B6DP71_HUMAN	Estrogen receptor alpha splice variant	ESR1	Homo sapiens (Human)	58
ESR1	B6DP72	unreviewed	B6DP72_HUMAN	Estrogen receptor alpha splice variant	ESR1	Homo sapiens (Human)	106
ESR1	B6DP73	unreviewed	B6DP73_HUMAN	Estrogen receptor alpha splice variant	ESR1	Homo sapiens (Human)	61
ESR1	B6DP74	unreviewed	B6DP74_HUMAN	Estrogen receptor alpha splice variant	ESR1	Homo sapiens (Human)	44
ESR1	B6DP75	unreviewed	B6DP75_HUMAN	Estrogen receptor alpha splice variant	ESR1	Homo sapiens (Human)	44
ESR1	B6DU66	unreviewed	B6DU66_HUMAN	"Estrogen receptor alpha delta 2*,3,4,5,6,7*/834 hypothalamic isoform"	ESR1	Homo sapiens (Human)	109
ESR1	B6DU67	unreviewed	B6DU67_HUMAN	"Estrogen receptor alpha delta 3*,4,5,6,7*/775 hypothalamic isoform"	ESR1	Homo sapiens (Human)	43
ESR1	B6DU68	unreviewed	B6DU68_HUMAN	"Estrogen receptor alpha delta 4,7*,8*/581 hypothalamic isoform"	ESR1	Homo sapiens (Human)	163
ESR1	B6DU69	unreviewed	B6DU69_HUMAN	"Estrogen receptor alpha delta 4*,5,6*/481 hypothalamic isoform"	ESR1	Homo sapiens (Human)	83
ESR1	B6DU70	unreviewed	B6DU70_HUMAN	"Estrogen receptor alpha delta 4,5,6,7 isoform"	ESR1	Homo sapiens (Human)	67
ESR1	C0L927	unreviewed	C0L927_HUMAN	"Estrogen receptor alpha delta 4,5,7 isoform"	ESR1	Homo sapiens (Human)	66
ESR1	C0LJA7	unreviewed	C0LJA7_HUMAN	"Estrogen receptor alpha delta 3*4,5*,7 isoform"	ESR1	Homo sapiens (Human)	106
ESR1	C0LJA8	unreviewed	C0LJA8_HUMAN	"Estrogen receptor alpha delta 3*4,5,6,7*/840 isoform"	ESR1	Homo sapiens (Human)	106
ESR1	C0LJA9	unreviewed	C0LJA9_HUMAN	"Estrogen receptor alpha delta 3*4*,7 isoform"	ESR1	Homo sapiens (Human)	56
ESR1	C0LLI5	unreviewed	C0LLI5_HUMAN	"Estrogen receptor alpha delta 4*,5,6,7,8*/918 isoform"	ESR1	Homo sapiens (Human)	82
ESR1	C0LLI6	unreviewed	C0LLI6_HUMAN	"Estrogen receptor alpha delta 4*,5,6,7*/633 isoform"	ESR1	Homo sapiens (Human)	114
ESR1	C0LLI7	unreviewed	C0LLI7_HUMAN	"Estrogen receptor alpha delta 3*,4,5,6,7*, 8*/912 isoform"	ESR1	Homo sapiens (Human)	85
ESR1	C0LLI8	unreviewed	C0LLI8_HUMAN	"Estrogen receptor alpha delta 6,7 isoform"	ESR1	Homo sapiens (Human)	220
ESR1	C0LLI9	unreviewed	C0LLI9_HUMAN	"Estrogen receptor alpha delta 4*,5,6,7,8*/885 isoform"	ESR1	Homo sapiens (Human)	93
ESR1	C7FFR5	unreviewed	C7FFR5_HUMAN	"Estrogen receptor alpha 3*,4,5,6,7*/765 isoform"	ESR1	Homo sapiens (Human)	46
ESR1	C8CD01	unreviewed	C8CD01_HUMAN	"Estrogen receptor alpha 2*,3,4,5,6,7*,8* isoform"	ESR1	Homo sapiens (Human)	32
ESR1	C8CJK8	unreviewed	C8CJK8_HUMAN	"Estrogen receptor alpha delta 3*,4,5,6,7*/819-2 isoform"	ESR1	Homo sapiens (Human)	52
ESR1	C8CJK9	unreviewed	C8CJK9_HUMAN	"Estrogen receptor alpha delta 3*,4,5,6,7*,8*/941 isoform"	ESR1	Homo sapiens (Human)	38
ESR1	C8CJL0	unreviewed	C8CJL0_HUMAN	"Estrogen receptor alpha delta 2*,3,4,5,6,7 isoform"	ESR1	Homo sapiens (Human)	24
ESR1	C8CJL1	unreviewed	C8CJL1_HUMAN	"Estrogen receptor alpha delta 4*,5,6,7,8*/901 isoform"	ESR1	Homo sapiens (Human)	88
ESR1	C8CJL2	unreviewed	C8CJL2_HUMAN	"Estrogen receptor alpha delta 3*,4,5,6,7,8*/969 isoform"	ESR1	Homo sapiens (Human)	65
ESR1	C8CJL3	unreviewed	C8CJL3_HUMAN	"Estrogen receptor alpha delta 3*,4,5,6,7,8*/984 isoform"	ESR1	Homo sapiens (Human)	59
ESR1	C8CJL4	unreviewed	C8CJL4_HUMAN	"Estrogen receptor alpha delta 2*,3,4,5,6,7*/963 isoform"	ESR1	Homo sapiens (Human)	23
ESR1	C8CJL5	unreviewed	C8CJL5_HUMAN	"Estrogen receptor alpha delta 3*,4,5,6,7,8*/1029 isoform"	ESR1	Homo sapiens (Human)	42
ESR1	C8CJL6	unreviewed	C8CJL6_HUMAN	Estrogen receptor alpha delta 4 +49 isoform	ESR1	Homo sapiens (Human)	222
ESR1	C9E0E9	unreviewed	C9E0E9_HUMAN	"Estrogen receptor alpha 3*,4,5,6,7,8*/1032 isoform"	ESR1	Homo sapiens (Human)	45
ESR1	C9E0F0	unreviewed	C9E0F0_HUMAN	"Estrogen receptor alpha 3*,4,5,6,7*/822 isoform"	ESR1	Homo sapiens (Human)	87
ESR1	C9E0F1	unreviewed	C9E0F1_HUMAN	"Estrogen receptor alpha delta 4*,5,6,7*/654 isoform"	ESR1	Homo sapiens (Human)	104
ESR1	C9E0F2	unreviewed	C9E0F2_HUMAN	"Estrogen receptor alpha 3*,4,5,6,7,8*/1068 isoform"	ESR1	Homo sapiens (Human)	30
ESR1	C9E0F3	unreviewed	C9E0F3_HUMAN	"Estrogen receptor alpha 3*,4,5,6,7,8*/984 isoform"	ESR1	Homo sapiens (Human)	61
ESR1	E3WH18	unreviewed	E3WH18_HUMAN	Estrogen receptor alpha	ESR1	Homo sapiens (Human)	190
ESR1	E3WH19	unreviewed	E3WH19_HUMAN	Estrogen receptor alpha	ESR1	Homo sapiens (Human)	17
ESR1	G4XH65	unreviewed	G4XH65_HUMAN	"Estrogen receptor, ER (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)"	ESR1	Homo sapiens (Human)	595
ESR1	H0Y4W6	unreviewed	H0Y4W6_HUMAN	Estrogen receptor	ESR1	Homo sapiens (Human)	310
ESR1	K4PX46	unreviewed	K4PX46_HUMAN	Estrogen receptor alpha E1-N1-E2-1 variant	ESR1	Homo sapiens (Human)	58
ESR1	K4PXX0	unreviewed	K4PXX0_HUMAN	Estrogen receptor alpha E1-1-2 variant (Estrogen receptor alpha E1-E2-1-2 variant) (Estrogen receptor alpha E1-N2-E2-1-2 variant)	ESR1	Homo sapiens (Human)	192
ESR1	K4Q331	unreviewed	K4Q331_HUMAN	Estrogen receptor alpha E1-2 variant (Estrogen receptor alpha E1-E2-2 variant) (Estrogen receptor alpha E1-N2-E2-2 variant)	ESR1	Homo sapiens (Human)	19
ESR1	K7R989	unreviewed	K7R989_HUMAN	Estrogen receptor (Estrogen receptor protein)	ESR1	Homo sapiens (Human)	102
ESR1	L8E8A8	unreviewed	L8E8A8_HUMAN	Alternative protein ESR1	ESR1	Homo sapiens (Human)	45
ESR1	Q0H8T6	unreviewed	Q0H8T6_HUMAN	Hippocampal estrogen receptor alpha isoform TADDI	ESR1	Homo sapiens (Human)	48
ESR1	Q5T5H8	unreviewed	Q5T5H8_HUMAN	Estrogen receptor	ESR1	Homo sapiens (Human)	84
ESR1	Q9H1Z6	unreviewed	Q9H1Z6_HUMAN	Estrogen receptor 1	ESR1	Homo sapiens (Human)	12
ESR1	Q9H2M1	unreviewed	Q9H2M1_HUMAN	Estrogen receptor (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1	Homo sapiens (Human)	334
ESR1	Q9H2M2	unreviewed	Q9H2M2_HUMAN	Estrogen receptor (Estrogen receptor alpha)	ESR1	Homo sapiens (Human)	152
ESR1	Q9UE35	unreviewed	Q9UE35_HUMAN	Estrogen receptor (Estrogen receptor protein)	ESR1 estrogen receptor	Homo sapiens (Human)	115
ETNK1	Q9HBU6	reviewed	EKI1_HUMAN	"Ethanolamine kinase 1, EKI 1, EC 2.7.1.82"	ETNK1 EKI1	Homo sapiens (Human)	452
ETNK1	A0A5F9ZI33	unreviewed	A0A5F9ZI33_HUMAN	Ethanolamine kinase 1	ETNK1	Homo sapiens (Human)	144
ETNK1	A0A5K1VW28	unreviewed	A0A5K1VW28_HUMAN	Ethanolamine kinase 1	ETNK1	Homo sapiens (Human)	363
ETNK1	H0YFP7	unreviewed	H0YFP7_HUMAN	Ethanolamine kinase 1	ETNK1	Homo sapiens (Human)	57
ETNK1	H0YH69	unreviewed	H0YH69_HUMAN	"Ethanolamine kinase 1 (Ethanolamine kinase 1, isoform CRA_c)"	ETNK1 hCG_22726	Homo sapiens (Human)	345
ETNK1	Q86U68	unreviewed	Q86U68_HUMAN	Ethanolamine kinase (Ethanolamine kinase 1)	ETNK1	Homo sapiens (Human)	169
ETV1	P50549	reviewed	ETV1_HUMAN	ETS translocation variant 1 (Ets-related protein 81)	ETV1 ER81	Homo sapiens (Human)	477
ETV1	A0A024R9Z3	unreviewed	A0A024R9Z3_HUMAN	"Ets variant gene 1, isoform CRA_a"	ETV1 hCG_17384	Homo sapiens (Human)	341
ETV1	A0A024R9Z5	unreviewed	A0A024R9Z5_HUMAN	"Ets variant gene 1, isoform CRA_d"	ETV1 hCG_17384	Homo sapiens (Human)	323
ETV1	A0A024RA02	unreviewed	A0A024RA02_HUMAN	"Ets variant gene 1, isoform CRA_e"	ETV1 hCG_17384	Homo sapiens (Human)	321
ETV1	B5MCT2	unreviewed	B5MCT2_HUMAN	ETS translocation variant 1	ETV1	Homo sapiens (Human)	491
ETV1	C9J0B7	unreviewed	C9J0B7_HUMAN	ETS translocation variant 1	ETV1	Homo sapiens (Human)	20
ETV1	C9J4P4	unreviewed	C9J4P4_HUMAN	ETS translocation variant 1	ETV1	Homo sapiens (Human)	123
ETV1	C9J9L1	unreviewed	C9J9L1_HUMAN	ETS translocation variant 1	ETV1	Homo sapiens (Human)	95
ETV1	C9JQH6	unreviewed	C9JQH6_HUMAN	ETS translocation variant 1	ETV1	Homo sapiens (Human)	173
ETV1	C9JX69	unreviewed	C9JX69_HUMAN	ETS translocation variant 1	ETV1	Homo sapiens (Human)	288
ETV1	F8WEH6	unreviewed	F8WEH6_HUMAN	ETS translocation variant 1	ETV1	Homo sapiens (Human)	367
ETV4	P43268	reviewed	ETV4_HUMAN	"ETS translocation variant 4 (Adenovirus E1A enhancer-binding protein) (E1A-F) (Polyomavirus enhancer activator 3 homolog, Protein PEA3)"	ETV4 E1AF PEA3	Homo sapiens (Human)	484
ETV4	B7Z5F4	unreviewed	B7Z5F4_HUMAN	"ETS translocation variant 4 (cDNA FLJ55351, highly similar to ETS translocation variant 4)"	ETV4	Homo sapiens (Human)	430
ETV4	D3DX44	unreviewed	D3DX44_HUMAN	"Ets variant gene 4 (E1A enhancer binding protein, E1AF), isoform CRA_b"	ETV4 hCG_1749092	Homo sapiens (Human)	310
ETV4	K7EMW0	unreviewed	K7EMW0_HUMAN	ETS translocation variant 4	ETV4	Homo sapiens (Human)	28
ETV5	P41161	reviewed	ETV5_HUMAN	ETS translocation variant 5 (Ets-related protein ERM)	ETV5 ERM	Homo sapiens (Human)	510
ETV5	C9J0Z2	unreviewed	C9J0Z2_HUMAN	ETS translocation variant 5	ETV5	Homo sapiens (Human)	140
ETV5	C9J5A5	unreviewed	C9J5A5_HUMAN	ETS translocation variant 5	ETV5	Homo sapiens (Human)	132
ETV5	C9JMF0	unreviewed	C9JMF0_HUMAN	ETS translocation variant 5	ETV5	Homo sapiens (Human)	150
ETV5	C9JR66	unreviewed	C9JR66_HUMAN	ETS translocation variant 5	ETV5	Homo sapiens (Human)	132
ETV5	H7C1D2	unreviewed	H7C1D2_HUMAN	ETS translocation variant 5	ETV5	Homo sapiens (Human)	89
ETV6	P41212	reviewed	ETV6_HUMAN	"Transcription factor ETV6 (ETS translocation variant 6) (ETS-related protein Tel1, Tel)"	ETV6 TEL TEL1	Homo sapiens (Human)	452
ETV6	A0A0S2Z3C9	unreviewed	A0A0S2Z3C9_HUMAN	Ets variant 6 isoform 1	ETV6	Homo sapiens (Human)	452
ETV6	A0A0S2Z3N6	unreviewed	A0A0S2Z3N6_HUMAN	Ets variant 6 isoform 2	ETV6	Homo sapiens (Human)	338
ETV6	H0YG25	unreviewed	H0YG25_HUMAN	Transcription factor ETV6	ETV6	Homo sapiens (Human)	88
ETV6	J3KN52	unreviewed	J3KN52_HUMAN	Transcription factor ETV6	ETV6	Homo sapiens (Human)	50
ETV6	Q1XE77	unreviewed	Q1XE77_HUMAN	ETV6 protein	ETV6	Homo sapiens (Human)	71
ETV6	Q9UBM2	unreviewed	Q9UBM2_HUMAN	ETV6 protein (TEL)	ETV6	Homo sapiens (Human)	11
